type,name,notice,furigana
不燃ごみ,印鑑（石・水晶・プラスチック製）,壊してから出してください。,い
不燃ごみ（粗大ごみ）,犬小屋（プラスチック製）,,い
不燃ごみ（粗大ごみ）,一輪車,,い
不燃ごみ（粗大ごみ）,衣装ケース（プラスチック）,,い
不燃ごみ（粗大ごみ）,いす（金属製）,,い
不燃ごみ（粗大ごみ）,いす（プラスチック製）,,い
不燃ごみ（粗大ごみ）,板ガラス,散らばらないようにして出してください。,い
不燃ごみ（粗大ごみ）,一輪車（運搬用）,,い
不燃ごみ（粗大ごみ）,一斗缶,中身を空にして出してください。,い
不燃ごみ（粗大ごみ）,衣装ケース（金属製）,,い
受入れできないもの,衣類乾燥機,商品を購入した店舗または買い替えの場合は商品購入予定の店舗に引き取ってもらってください（要：リサイクル料金）,い
受入れできないもの,育苗箱,農業の事業活動であるものは、購入店または専門業者へ引取りを依頼してください。ただし、一般家庭からのものは不燃ごみで受入れいています（他の農具も同様）。,い
可燃ごみ,印鑑（木・象牙製）,壊してから出してください。,い
可燃ごみ,衣類,,い
可燃ごみ,色鉛筆,,い
可燃ごみ,色紙,,い
可燃ごみ（粗大ごみ）,板くず・板切れ,日曜大工や工作くずに限ります。（1m以内）,い
可燃ごみ（粗大ごみ）,犬小屋（木製）,金属部分を外して出してください。（1m以内）,い
可燃ごみ（粗大ごみ）,いす（木製）,金属部分を外して出してください。,い
容器包装プラスチック,いちごのパック,すすいでから出してください。,い
容器包装プラスチック,医薬品の個包装,飲み薬などの家庭から出るものに限ります。,い
容器包装プラスチック,入歯接着剤のチューブ容器,分別困難な場合は、可燃ごみに出してください。,い
容器包装プラスチック,育毛剤の容器（プラスチック）,すすいでから出してください。,い
小型家電,イヤホン,,い
小型家電,ETC車載ユニット,,い
空きびん,一升びん（酒・しょうゆなど）,買ったお店に返してください。（リターナブルびん）,い
不燃ごみ,うちわ（プラスチック製）,,う
不燃ごみ,植木鉢（陶磁器製）,,う
不燃ごみ,腕時計,電池を抜いて出してください。,う
不燃ごみ（粗大ごみ）,うす（石・木製）,,う
不燃ごみ（粗大ごみ）,乳母車,,う
可燃ごみ,うちわ（木製）,,う
可燃ごみ,運動靴,,う
可燃ごみ,ウインドブレーカー,,う
可燃ごみ,植木の枝葉（少量）,細かくして、束ねて市指定袋に入れて出してください。,う
可燃ごみ,ウエットスーツ,,う
可燃ごみ,浮き輪,,う
可燃ごみ（粗大ごみ）,ウッドカーペット,,う
可燃ごみ（粗大ごみ）,羽毛布団,折りたたむか束ねたままで出してください。,う
小型家電,ウインドファン,小型家電ボックス（横60センチ たて25センチ）に入らないものは、不燃ごみとしてお出しください。,う
不燃ごみ,絵の具,,え
不燃ごみ,栄養剤のびんのふた,素材により分別してください。,え
不燃ごみ,エレクトーン,木製部分がある場合は外して,え
不燃ごみ,延長コード,,え
不燃ごみ,鉛筆削り,,え
不燃ごみ,塩ビ配管,事業活動によるものは、受入れできません。,え
受入れできないもの,液晶テレビ,商品を購入した店舗または買い替えの場合は商品購入予定の店舗に引き取ってもらってください（要：リサイクル料金）,え
受入れできないもの,エアコン（室内機・室外機）,商品を購入した店舗または買い替えの場合は商品購入予定の店舗に引き取ってもらってください（要：リサイクル料金）,え
受入れできないもの,園芸腐葉土（家庭用）,土は廃棄物（ごみ）ではありませんので、農家の方や園芸をされている方に受け入れをご相談ください。,え
古紙類,絵本,雑誌類と同じ区分で出してください。,え
可燃ごみ,園芸肥料（家庭菜園で使用するもの）,家庭菜園程度に限ります。,え
可燃ごみ,鉛筆,,え
可燃ごみ（粗大ごみ）,エアマット,折りたたむか束ねたままで出してください。,え
容器包装プラスチック,液体洗剤の容器,,え
小型家電,LED照明器具,,え
小型家電,mDプレイヤー,,え
不燃ごみ,おまる,汚物を取ってトイレに流してから出してください。,お
不燃ごみ,温度計,水銀温度計は有害ごみに出してください。,お
不燃ごみ,おもちゃ（プラスチック・金属製）,電池を抜いて出してください。,お
不燃ごみ,オルガン,一般家庭からの排出分に限り受けいれています。木製部品で取り外せる箇所は、可燃ごみで出してください。,お
不燃ごみ,オードブル皿（プラマークなし）,,お
不燃ごみ,おしゃぶり,,お
不燃ごみ,おたま,,お
不燃ごみ,おぼん（プラスチック製）,,お
不燃ごみ,王冠,,お
不燃ごみ（粗大ごみ）,オーブンレンジ,,お
不燃ごみ（粗大ごみ）,大型トレーニング器具,,お
不燃ごみ（粗大ごみ）,折りたたみ椅子（金属製）,,お
不燃ごみ（粗大ごみ）,オイルヒーター,家庭用に限ります。,お
不燃ごみ（粗大ごみ）,オーブントースター,,お
受入れできないもの,オートバイ,購入店または専門業者へ引取りを依頼してください。,お
受入れできないもの,オイル（自動車、機械油）,購入店または専門業者へ引取りを依頼してください。,お
古紙類,おもちゃの空き箱（紙製）,再生のできない紙は、可燃ごみとして出してください。,お
可燃ごみ,帯,,お
可燃ごみ,お手拭き（弁当の付属品）,,お
可燃ごみ,おぼん（木製）,,お
可燃ごみ,おむつ（紙おむつ）,汚物を取ってトイレに流してから出してください。,お
可燃ごみ,おむつ（布製）・おむつカバー,汚物を取ってトイレに流してから出してください。,お
可燃ごみ,おもちゃ（布・紙製）,,お
可燃ごみ（粗大ごみ）,折りたたみ椅子（木製）,金属部分を外して出してください。,お
可燃ごみ（粗大ごみ）,応接間用ソファ,金属部分を外して出してください。（スプリング含む）,お
容器包装プラスチック,お手拭き（弁当の付属品）の外装,,お
容器包装プラスチック,オードブル皿（プラマークあり）,すすいでから出してください。,お
有害ごみ,温度計（水銀入り）,水銀温度計は有害ごみに出してください。,お
不燃ごみ,カッター,,か
不燃ごみ,ガスマット（アルミ製）,,か
不燃ごみ,カセットテープ,,か
不燃ごみ,缶切り,,か
不燃ごみ,瓦,施設に持ち込む前に市民環境課（69-0210）連絡を入れ、現地確認を受けてから持込んでください。,か
不燃ごみ,ガス給湯器（6号未満）　電気式、ガス式、灯油式とも,5号までの大きさの給湯器は受け入れます。6号以上の給湯器は購入店または専門業者へ引取りを依頼してください。,か
不燃ごみ,軽石,,か
不燃ごみ,ガラスのコップ・食器,破損しているものは、新聞などで包んで出してください。,か
不燃ごみ,かみそり,先端部分を保護して出してください。,か
不燃ごみ,傘,,か
不燃ごみ,鎌（かま）,先端部分を保護して出してください。,か
不燃ごみ,鉋（かんな）,,か
不燃ごみ,花びん,,か
不燃ごみ,画鋲（がびょう）,散らばらないようにして出してください。,か
不燃ごみ,カーペットローラー,,か
不燃ごみ,金づち,,か
不燃ごみ,懐中電灯,電池を抜いて出してください。,か
不燃ごみ,カイロ（使い捨て）,,か
不燃ごみ,カッターの刃,先端部分を保護して出してください。,か
不燃ごみ,鏡（かがみ）,,か
不燃ごみ,鍵（かぎ）,,か
不燃ごみ,寒暖計,水銀寒暖計は有害ごみに出してください。,か
不燃ごみ（粗大ごみ）,ガス台,電池を抜いて出してください。,か
不燃ごみ（粗大ごみ）,カーテンレール,,か
不燃ごみ（粗大ごみ）,学習机（金属製）,,か
不燃ごみ（粗大ごみ）,ガス炊飯器,,か
不燃ごみ（粗大ごみ）,ガスストーブ,,か
不燃ごみ（粗大ごみ）,ガスレンジ（ガス台）,電池を抜いて出してください。,か
不燃ごみ（粗大ごみ）,釜（かま）,,か
不燃ごみ（粗大ごみ）,ガラス板,,か
受入れできないもの,乾燥機（衣類など）,商品を購入した店舗または買い替えの場合は商品購入予定の店舗に引き取ってもらってください（要：リサイクル料金）,か
受入れできないもの,ガスボンベ,購入店または専門業者へ引取りを依頼してください。,か
受入れできないもの,ガス給湯器（6号以上）　電気式、ガス式、灯油式とも,購入店または専門業者へ引取りを依頼してください。,か
古紙類,画用紙,再生のできない紙は、可燃ごみとして出してください。,か
古紙類,カタログ,壁紙、タイル、板の見本は除いてください。,か
古紙類,カレンダー,金属部分は不燃ごみ,か
古紙類,紙パック,内側が銀色のものは、可燃ごみに出してください。,か
可燃ごみ,菓子箱（木製）,潰して出してください。,か
可燃ごみ,額縁（木製）,ガラスをはずしてください。,か
可燃ごみ,カップ麺の器　（カップ「紙」マークあり）,,か
可燃ごみ,カップ麺の器のフタ(紙製）,,か
可燃ごみ,かつら,,か
可燃ごみ,カーボン紙,裏面にカーボンが添付してある用紙も、可燃ごみです。,か
可燃ごみ,蚊取り線香,,か
可燃ごみ,貝がら,家庭から出るものに限ります。,か
可燃ごみ,紙コップ・紙皿,,か
可燃ごみ,紙粘土,,か
可燃ごみ,髪の毛,散らばらないようにして出してください。,か
可燃ごみ,紙袋,,か
可燃ごみ,ガム・ガムの包装(紙製）,,か
可燃ごみ,ガムテープ,,か
可燃ごみ,感熱紙,,か
可燃ごみ,ガーゼ,,か
可燃ごみ,革製品・合成皮革製品,,か
可燃ごみ,緩衝材,,か
可燃ごみ,乾燥剤,,か
可燃ごみ（粗大ごみ）,学習机（木製）,破砕した後に焼却しますので、分解し金属部分を外して出してください。,か
可燃ごみ（粗大ごみ）,カーテン,,か
可燃ごみ（粗大ごみ）,角材（少量）,家庭から出るものに限ります。（日曜大工程度）,か
可燃ごみ（粗大ごみ）,カーペット,折りたたむか束ねたままで出してください。,か
可燃ごみ（粗大ごみ）,カラーボックス,,か
容器包装プラスチック,菓子袋,,か
容器包装プラスチック,カップ麺の器（カップ「プラ」マークあり）,汚れはすすいでからお出しください。汚れが落ちないものは「可燃ごみ」としてお出しください。,か
容器包装プラスチック,カップ麺の外包装フィルム,,か
容器包装プラスチック,カップ麺の具やスープの袋,分別困難な場合は、可燃ごみに出してください。,か
容器包装プラスチック,カイロ（使い捨て）の外袋,,か
小型家電,かみそり（電気かみそり）,,か
小型家電,カセットデッキ,小型家電ボックス（横60センチ たて25センチ）に入らないものは、不燃ごみとしてお出しください。電池を抜いて出してください。,か
小型家電,カメラ（フィルムカメラ・デジタルカメラ）,電池を抜いて出してください。,か
小型家電,カーナビゲーション,,か
小型家電,加湿器,小型家電ボックス（横60センチ たて25センチ）に入らないものは、不燃ごみとしてお出しください。,か
有害ごみ,乾電池,,か
空きびん,カップ酒のびん,空にして、すすいで、ふたを取って出してください。,か
空き缶,缶詰の缶（ふた）,空にして、すすいで出してください。,か
空き缶,菓子箱（金属製）,空にして、すすいで出してください。,か
空き缶,カセットボンベ（卓上）,空にして、火気のない所で穴をあけてだしてください。,か
不燃ごみ,禁煙パイプ,,き
不燃ごみ,錐（きり）,先端部分を保護して出してください。,き
不燃ごみ,霧吹き,,き
不燃ごみ,給油ポンプ,,き
不燃ごみ,キーホルダー,,き
不燃ごみ,キャスター（こま）,,き
不燃ごみ,金庫（てさげ金庫）,,き
不燃ごみ,金魚鉢,,き
不燃ごみ,急須（きゅうす）,,き
不燃ごみ,給湯機,台所専用の小型ガス給湯器（5号まで）に限ります。大型のものは取替時に引取を依頼してください。,き
不燃ごみ（粗大ごみ）,脚立,,き
不燃ごみ（粗大ごみ）,ギター,,き
不燃ごみ（粗大ごみ）,木の根,,き
受入れできないもの,金庫（耐火金庫）,購入店または専門業者へ引取りを依頼してください。,き
古紙類,教科書,雑誌類と同じ区分で出してください。,き
古紙類,牛乳パック,内側が銀色のものは、可燃ごみに出してください。,き
可燃ごみ,キャッシュカード,使えないようにしてから出してください。,き
可燃ごみ,キッチンペーパー,,き
可燃ごみ,木の枝・木の葉・剪定くず（少量）,根や土は取り除いてください。,き
小型家電,キーボード（楽器）,小型家電ボックス（横60センチ たて25センチ）に入らないものは、不燃ごみとしてお出しください。,き
小型家電,キーボード（パソコン用）,,き
空きびん,牛乳びん,買ったお店に返してください。（リターナブルびん）,き
不燃ごみ,クレヨン,,く
不燃ごみ,釘（くぎ）,散らばらないようにして出してください。,く
不燃ごみ,靴墨,,く
不燃ごみ,串（金属製）,先端部分を保護して出してください。,く
不燃ごみ,果物ナイフ,先端部分を保護して出してください。,く
不燃ごみ,鍬（くわ）,,く
不燃ごみ,口紅,,く
不燃ごみ,靴べラ（金属製・プラスチック製）,,く
不燃ごみ,釘抜き,先端部分を保護して出してください。,く
不燃ごみ,車椅子（個人所有に限る）,購入店または専門業者へ引取りを依頼してください。,く
不燃ごみ,グラス,破損しているものは、新聞などで包んで出してください。,く
不燃ごみ,空気入れ,,く
不燃ごみ,クリップ,,く
不燃ごみ,草刈機,,く
不燃ごみ,草刈機の替刃,先端部分を保護して出してください。,く
不燃ごみ,くさり,,く
不燃ごみ（粗大ごみ）,空気清浄機,,く
不燃ごみ（粗大ごみ）,クーラーボックス,,く
受入れできないもの,クーラー（空気調和器）,商品を購入した店舗または買い替えの場合は商品購入予定の店舗に引き取ってもらってください（要：リサイクル料金）,く
古紙類,靴の空き箱,段ボールと同じ区分で出してください。,く
可燃ごみ,グローブ,,く
可燃ごみ,クーラーバック,,く
可燃ごみ,草,土は取り除いてください。,く
可燃ごみ,串（木製）,先端部分を保護して出してください。,く
可燃ごみ,くず取りネット,,く
可燃ごみ,靴,金具等は取り外して不燃ごみにお出しください。金具等が取り外せないものは不燃になります。,く
可燃ごみ,靴下・ストッキング,,く
可燃ごみ,クッション,,く
可燃ごみ,靴べラ（木製）,,く
可燃ごみ,グラブ・ミット（スポーツ用）,,く
可燃ごみ,クリヤファイル,,く
可燃ごみ,クレジットカード,使えないようにしてから出してください。,く
可燃ごみ,軍手,,く
容器包装プラスチック,靴用クリームのチューブ容器,分別困難な場合は、可燃ごみに出してください。,く
容器包装プラスチック,果物のネット,,く
不燃ごみ,携帯ゲーム機（ゲーム機）,小型家電ボックス（横60センチ たて25センチ）に入らないものは、不燃ごみとしてお出しください。電池を抜いて出してください。,け
不燃ごみ,蛍光ペン,,け
不燃ごみ,計量カップ,,け
不燃ごみ,ゲームソフト（CDタイプ）,,け
不燃ごみ,化粧品のびん,空きびんではありません。,け
不燃ごみ,毛抜き,,け
不燃ごみ,剣山,先端部分を保護して出してください。,け
不燃ごみ,顕微鏡,,け
不燃ごみ（粗大ごみ）,下駄箱（金属製）,,け
不燃ごみ（粗大ごみ）,玄関マット（金属製）,,け
受入れできないもの,原動機付自転車以上,購入店または専門業者へ引取りを依頼してください。,け
古紙類,化粧品の箱,,け
可燃ごみ,消しゴム,,け
可燃ごみ,玄関マット（ゴム製）,,け
可燃ごみ,下駄,,け
可燃ごみ,毛糸,,け
可燃ごみ（粗大ごみ）,下駄箱（木製）,金属部分を外して出してください。,け
小型家電,ゲームソフト（基盤のあるもの）,CDタイプのものは「不燃ごみ」,け
小型家電,携帯電話,,け
小型家電,ゲーム機,,け
有害ごみ,蛍光管・蛍光灯,割れないように出してください。,け
不燃ごみ,コルク抜き,,こ
不燃ごみ,コンタクトレンズ,,こ
不燃ごみ,コップ（プラスチック製）,,こ
不燃ごみ,碁石（ごいし）,,こ
不燃ごみ,香水びん,空きびんではありません。,こ
不燃ごみ,ゴーグル,,こ
不燃ごみ,コード,結ぶなどして出してください。,こ
不燃ごみ,コップ（ガラス製）,空きびんではありません。,こ
不燃ごみ,ごみ箱（プラスチック製）,,こ
不燃ごみ,ゴムカーペット,,こ
不燃ごみ,コンクリートがら,家庭から排出されたものに限ります。軽トラック1台分を超える量を持ち込む場合は、事前に峰山クリーンセンター（62-4626）連絡を入れ、現地確認を受けてから持込んでください。建設業者が持ち込まれるものは受入れができません。,こ
不燃ごみ,コンセント,,こ
不燃ごみ,コンパス,先端部分を保護して出してください。,こ
不燃ごみ,コンプレッサー,事業活動によるものは、受入れできません。,こ
不燃ごみ（粗大ごみ）,コードリール,,こ
不燃ごみ（粗大ごみ）,米びつ,,こ
不燃ごみ（粗大ごみ）,ゴルフクラブ・ゴルフバッグ,,こ
不燃ごみ（粗大ごみ）,工具箱（金属・プラスチック製）,,こ
受入れできないもの,耕運機,購入店または専門業者へ引取りを依頼してください。,こ
可燃ごみ,ゴム長靴,鉄板入りのものは、不燃ごみとしてください。,こ
可燃ごみ,コート（衣類）,,こ
可燃ごみ,コップ（紙製）,,こ
可燃ごみ,米袋（紙製）,家庭用に限ります。,こ
可燃ごみ,コルク栓,,こ
可燃ごみ,紅茶のティーパック,,こ
可燃ごみ,ゴム手袋,,こ
可燃ごみ（粗大ごみ）,こたつ（板含む）,電熱機器は、取り外してください。,こ
可燃ごみ（粗大ごみ）,ござ,折りたたむか束ねたままで出してください。,こ
可燃ごみ（粗大ごみ）,工具箱（木製）,金属部分を外して出してください。,こ
容器包装プラスチック,米袋（プラスチック製）,,こ
小型家電,こたつの電熱機器,小型家電ボックス（横60センチ たて25センチ）に入らないものは、不燃ごみとしてお出しください。,こ
小型家電,コーヒーメーカー,,こ
小型家電,コピー機（家庭用小型）,小型家電ボックス（横60センチ たて25センチ）に入らないものは、不燃ごみとしてお出しください。事業用のものは購入店等にご相談ください。,こ
空き缶,粉ミルクの缶,空にして、すすいで出してください。,こ
不燃ごみ,皿（陶器製）,破損しているものは、新聞などで包んで出してください。,さ
不燃ごみ,サッシ,ガラス付きでも受け入れ可能,さ
不燃ごみ,サングラス,,さ
不燃ごみ,ざる(プラスチック製),,さ
不燃ごみ,サンドペーパー,,さ
不燃ごみ（粗大ごみ）,三輪車,,さ
不燃ごみ（粗大ごみ）,竿（物干し）,,さ
不燃ごみ（粗大ごみ）,三脚（金物）,,さ
古紙類,雑誌,雑誌類と同じ区分で出してください。,さ
可燃ごみ,残飯,水を十分に切ってから出す。,さ
可燃ごみ,ざる(竹製）,,さ
可燃ごみ,材木（小屋などの解体ごみ）,日曜大工などにより発生したものに限ります。釘やボルト等金属・金具類を取り除き1m以下に切断したものに限ります。軽トラック1台分を超える量を持ち込む場合は事前に現場確認を行いますので、峰山クリーンセンター（62-4626）に連絡願います。,さ
可燃ごみ,作業着,,さ
可燃ごみ,サンダル,,さ
可燃ごみ,財布,,さ
可燃ごみ（粗大ごみ）,座いす,金属部分を外して出してください。（スプリング含む）,さ
可燃ごみ（粗大ごみ）,座布団,,さ
小型家電,サーキュレイター,小型家電ボックス（横60センチ たて25センチ）に入らないものは、不燃ごみとしてお出しください。,さ
不燃ごみ,しゃもじ（プラスチック製）,,し
不燃ごみ,CDケース,その他プラではありません。,し
不燃ごみ,織機（機織り機）鉄製,金属類、木製部品の分別が必要。解体を業者に依頼する場合、その解体業者が一廃収運許可を持っている必要あり。許可が無ければ許可業者に収運を依頼してください。,し
不燃ごみ,じょうろ（プラスチック製）,,し
不燃ごみ,消臭剤,,し
不燃ごみ,定規（金属製・プラスチック製）,,し
不燃ごみ,蛇口,,し
不燃ごみ,磁石,,し
不燃ごみ,七輪（しちりん）,,し
不燃ごみ,CD,情報が漏れないように、壊してから出してください。,し
不燃ごみ,芝刈機（個人使用に限る）,大型のものは購入店または専門業者へ引取りを依頼してください。,し
不燃ごみ（粗大ごみ）,瞬間湯沸かし器（台所用）6号未満,台所専用の小型ガス給湯器（5号まで）に限ります。大型のものは取替時に引取を依頼してください。,し
不燃ごみ（粗大ごみ）,収納ケース（プラスチック・金属製）,,し
不燃ごみ（粗大ごみ）,室内物干し,,し
不燃ごみ（粗大ごみ）,書棚・食器棚（金属製）,,し
不燃ごみ（粗大ごみ）,自転車,,し
不燃ごみ（粗大ごみ）,瞬間湯沸かし器（6号以上）,6号以上のものは取替時に引取を依頼してください。,し
受入れできないもの,自動車部品（バンパー・マフラー等）,購入店または専門業者へ引取りを依頼してください。,し
受入れできないもの,消火器,販売店・製造元または消火器リサイクル推進センター　tel：03-5829-6773　ホームページHttp://www.fErpC.jp,し
古紙類,新聞紙,新聞・チラシと同じ区分で出してください。,し
古紙類,辞典,雑誌類と同じ区分で出してください。,し
古紙類,週刊誌,雑誌類と同じ区分で出してください。,し
可燃ごみ,シーツ,,し
可燃ごみ,織機（機織り機）木製,破砕した後に焼却しますので、長さ1.0m以内　太さ20センチ以内に解体してください。,し
可燃ごみ,定規（木製）,,し
可燃ごみ,ジーンズ,,し
可燃ごみ,写真・ネガフィルム,,し
可燃ごみ,下着類,,し
可燃ごみ,湿布,,し
可燃ごみ,しゃもじ（木製）,,し
可燃ごみ,食用油,固型剤で固めるなどして出してください。NPO法人エコネット丹後（0772-62-3855）が資源として回収しておられます。各市民局などに専用の回収ボックスが設置されていますので、ペットポトルなどしっかりふたができる容器に入れてお出しください（無料）。,し
可燃ごみ（粗大ごみ）,収納ケース（紙・木製）,金属部分を外して出してください。,し
可燃ごみ（粗大ごみ）,障子戸,現地確認が必要ですので事前に峰山クリーンセンター（0772-62-4626）にご連絡ください。施設には、1.0m以内もしくは半分に切断してから持ち込んでください。,し
可燃ごみ（粗大ごみ）,竹刀（しない）,,し
可燃ごみ（粗大ごみ）,じゅうたん,折りたたむか束ねたままで出してください。,し
可燃ごみ（粗大ごみ）,書棚・食器棚（木製）,金属部分を外して出してください。（ガラス含む）,し
容器包装プラスチック,シャンプー容器,中身を使い切って出してください。,し
容器包装プラスチック,食品袋（ビニール）,,し
容器包装プラスチック,食品ラップ,分別困難な場合は、可燃ごみに出してください。,し
容器包装プラスチック,食用油のボトル,中身を使い切って出してください（食器のすすぎ水などを利用してください）。,し
小型家電,照明器具類,小型家電ボックス（横60センチ たて25センチ）に入らないものは、不燃ごみとしてお出しください。蛍光管をはずして出してください。,し
小型家電,ジャー（炊飯器）,小型家電ボックス（横60センチ たて25センチ）に入らないものは、不燃ごみとしてお出しください。,し
小型家電,CDプレイヤー,小型家電ボックス（横60センチ たて25センチ）に入らないものは、不燃ごみとしてお出しください。,し
小型家電,ジューサーミキサー,小型家電ボックス（横60センチ たて25センチ）に入らないものは、不燃ごみとしてお出しください。,し
小型家電,除湿器,小型家電ボックス（横60センチ たて25センチ）に入らないものは、不燃ごみとしてお出しください。,し
小型家電,シンセサイザー,小型家電ボックス（横60センチ たて25センチ）に入らないものは、不燃ごみとしてお出しください。,し
小型家電,食器洗い乾燥機,小型家電ボックス（横60センチ たて25センチ）に入らないものは、不燃ごみとしてお出しください。,し
空き缶,消臭スプレー缶,空にして、火気のない所で穴をあけてだしてください。,し
不燃ごみ,寿司おけ（プラメークなし）,,す
不燃ごみ,炭,,す
不燃ごみ,スプレー缶（スプレーラッカー、塗料、リサイクルマークのないもの　）,中身を空にしてから、火気のない所で穴をあけてだしてください。,す
不燃ごみ,スパイクシューズ,,す
不燃ごみ,スタンプ台,,す
不燃ごみ,スケート,,す
不燃ごみ,水槽の装飾品、石、砂,,す
不燃ごみ,水筒,,す
不燃ごみ（粗大ごみ）,ストーブガード,,す
不燃ごみ（粗大ごみ）,スノーダンプ,,す
不燃ごみ（粗大ごみ）,スレート波板（家庭用）,日曜大工で出たものに限ります。,す
不燃ごみ（粗大ごみ）,水槽,,す
不燃ごみ（粗大ごみ）,スーツケース,,す
不燃ごみ（粗大ごみ）,スキー板・スキー靴・ストック,,す
不燃ごみ（粗大ごみ）,スケートボード（プラスチック製品）,,す
不燃ごみ（粗大ごみ）,スプリングマット（スプリング）,布や木などは解体して可燃ごみとしてお出しください。,す
不燃ごみ（粗大ごみ）,スコップ,,す
不燃ごみ（粗大ごみ）,ストーブ,電池と灯油は必ず抜いて出してください。,す
受入れできないもの,スクーター（原付）,購入店または専門業者へ引取りを依頼してください。,す
古紙類,図鑑,雑誌類と同じ区分で出してください。,す
可燃ごみ,スーツ,,す
可燃ごみ,ストッキング,,す
可燃ごみ,スキーウエア,,す
可燃ごみ,すりこぎ棒,,す
可燃ごみ,スリッパ,,す
可燃ごみ（粗大ごみ）,スケートボード（木製）,金属部分を外して出してください。,す
可燃ごみ（粗大ごみ）,すだれ,,す
可燃ごみ（粗大ごみ）,スプリングマット（布類）,金属部分を外して出してください。（スプリング含む）,す
可燃ごみ（粗大ごみ）,スポンジマット,折りたたむか束ねたままで出してください。,す
容器包装プラスチック,スーパーのレジ袋,マイバッグを持参し、ごみの減量にご協力ください。,す
容器包装プラスチック,寿司おけ（プラマークあり）,,す
小型家電,ステレオ,小型家電ボックス（横60センチ たて25センチ）に入らないものは、不燃ごみとしてお出しください。,す
有害ごみ,水銀灯,家庭用,す
空き缶,スプレー缶（リサイクルマークのあるもの）,中身を空にしてから、火気のない所で穴をあけてだしてください。,す
不燃ごみ,洗面器,,せ
不燃ごみ,洗濯ばさみ,,せ
不燃ごみ,千枚通し,先端部分を保護して出してください。,せ
不燃ごみ,洗車ブラシ,,せ
不燃ごみ,洗濯かご,,せ
不燃ごみ,剪定ばさみ,先端部分を保護して出してください。,せ
不燃ごみ,栓抜き,,せ
不燃ごみ（粗大ごみ）,石油ストーブ,電池と灯油は必ず抜いて出してください。,せ
不燃ごみ（粗大ごみ）,石油ファンヒーター,電池と灯油は必ず抜いて出してください。,せ
不燃ごみ（粗大ごみ）,セラミックヒーター,,せ
受入れできないもの,洗濯乾燥機,商品を購入した店舗または買い替えの場合は商品購入予定の店舗に引き取ってもらってください（要：リサイクル料金）,せ
受入れできないもの,洗濯機,商品を購入した店舗または買い替えの場合は商品購入予定の店舗に引き取ってもらってください（要：リサイクル料金）,せ
可燃ごみ,洗濯ネット,,せ
可燃ごみ,剪定くず（庭木くず）,長さ1m以内に切り、峰山クリーンセンターへ搬入。太さが20センチを超えるものは大宮最終処分場へ。,せ
可燃ごみ,線香,水に浸すなど完全に消化させてから出してください。,せ
可燃ごみ,生花,,せ
容器包装プラスチック,洗濯洗剤の容器（液体）,,せ
小型家電,扇風機,小型家電ボックス（横60センチ たて25センチ）に入らないものは、不燃ごみとしてお出しください。,せ
不燃ごみ,造花,,そ
不燃ごみ,双眼鏡,,そ
不燃ごみ（粗大ごみ）,そり,,そ
不燃ごみ（粗大ごみ）,ソファー（スプリング）,布や木などは解体して可燃ごみとしてお出しください。,そ
可燃ごみ,掃除機用のごみパック,,そ
可燃ごみ,そろばん,,そ
可燃ごみ（粗大ごみ）,ソファー（布類）,金属部分を外して出してください。（スプリング含む）,そ
